Date,Mkt-RF,SMB,HML,RMW,CMA,RF
05-11-2016,-0.89,-0.32,0.79,-0.39,0.03,0.001
05-12-2016,-0.11,-0.62,0.14,0.36,0.07,0.001
05-13-2016,-0.82,0.29,-0.67,-0.55,-0.18,0.001
05-16-2016,0.99,0.21,-0.23,-0.1,-0.3,0.001
05-17-2016,-0.95,-0.71,0.61,-0.14,-0.12,0.001
05-18-2016,0.1,0.18,0.89,-1.33,-0.63,0.001
05-19-2016,-0.32,-0.34,-0.26,0.36,-0.02,0.001
05-20-2016,0.75,0.85,-0.26,-0.4,-0.36,0.001
05-23-2016,-0.19,0.24,-0.32,-0.24,0.1,0.001
05-24-2016,1.43,0.63,-0.35,-0.1,-0.38,0.001
05-25-2016,0.71,-0.12,0.56,0.22,-0.08,0.001
05-26-2016,-0.04,-0.16,-0.53,0.15,-0.23,0.001
05-27-2016,0.48,0.36,-0.17,-0.12,-0.1,0.001
05-31-2016,-0.01,0.47,-0.37,-0.2,-0.32,0.001
06-01-2016,0.2,0.63,-0.21,-0.28,0.06,0.001
06-02-2016,0.35,0.26,-0.58,-0.2,-0.05,0.001
06-03-2016,-0.38,-0.21,-0.07,0.52,0.14,0.001
06-06-2016,0.6,0.72,0.31,-0.18,-0.08,0.001
06-07-2016,0.12,0.21,0.1,0.36,0.23,0.001
06-08-2016,0.37,0.43,-0.09,0.03,-0.08,0.001
06-09-2016,-0.27,-0.44,-0.24,0.33,0.13,0.001
06-10-2016,-1.05,-0.39,-0.18,0.18,0.61,0.001
06-13-2016,-0.84,-0.36,0.12,-0.22,-0.01,0.001
06-14-2016,-0.19,0.14,-0.72,0.33,0.03,0.001
06-15-2016,-0.11,0.23,-0.03,-0.09,0.02,0.001
06-16-2016,0.24,-0.32,-0.44,0.25,0.31,0.001
06-17-2016,-0.3,0.07,0.95,0.42,0.62,0.001
06-20-2016,0.71,0.6,0.01,-0.18,0.1,0.001
06-21-2016,0.21,-0.62,0.51,-0.19,-0.01,0.001
06-22-2016,-0.2,-0.31,0.08,0.1,-0.01,0.001
06-23-2016,1.45,0.56,0.47,-0.56,-0.18,0.001
06-24-2016,-3.69,0.02,-1.21,0.98,0.07,0.001
06-27-2016,-2.06,-1.06,-0.72,0.62,0.44,0.001
06-28-2016,1.76,-0.37,0.16,-0.63,-0.57,0.001
06-29-2016,1.79,0.31,-0.04,-0.13,-0.26,0.001
06-30-2016,1.42,0.39,0.42,-0.11,0.38,0.001
07-01-2016,0.24,0.46,-0.43,-0.07,0.23,0.001
07-05-2016,-0.84,-0.83,-1.38,0.61,-0.71,0.001
07-06-2016,0.62,0.18,-0.12,-0.05,-0.16,0.001
07-07-2016,0.02,0.33,-0.18,0.14,-0.27,0.001
07-08-2016,1.59,0.97,0.33,0.02,0.29,0.001
07-11-2016,0.43,0.68,0.28,0.32,-0.11,0.001
07-12-2016,0.75,0.74,0.98,-0.58,0.65,0.001
07-13-2016,-0.04,-0.46,0.48,0.51,-0.01,0.001
07-14-2016,0.51,-0.41,0.46,-0.01,0.02,0.001
07-15-2016,-0.05,0.29,0.01,-0.29,-0.01,0.001
07-18-2016,0.24,0.02,-0.14,0.04,-0.22,0.001
07-19-2016,-0.22,-0.64,0.04,0.46,-0.24,0.001
07-20-2016,0.48,0.39,-0.89,-0.05,-0.35,0.001
07-21-2016,-0.38,-0.06,-0.04,0.15,0.04,0.001
07-22-2016,0.48,0.28,-0.13,0.4,-0.26,0.001
07-25-2016,-0.27,-0.05,-0.23,0.44,-0.41,0.001
07-26-2016,0.13,0.61,0.54,-0.53,0.75,0.001
07-27-2016,-0.14,0.5,-0.43,-0.14,-0.56,0.001
07-28-2016,0.19,-0.52,-0.33,-0.11,-0.13,0.001
07-29-2016,0.17,-0.05,0.03,-0.02,0.35,0.001
08-01-2016,-0.16,0.07,-0.9,0.47,-0.75,0.001
08-02-2016,-0.7,-0.61,0.17,-0.42,0.13,0.001
08-03-2016,0.45,0.6,0.8,-0.7,0.15,0.001
08-04-2016,0.06,0.07,-0.38,0.17,0.07,0.001
08-05-2016,0.93,0.55,1,-0.57,-0.33,0.001
08-08-2016,-0.06,0.11,0.5,0.06,0.44,0.001
08-09-2016,0.05,-0.07,-0.28,-0.2,-0.24,0.001
08-10-2016,-0.29,-0.47,-0.18,0.62,0.03,0.001
08-11-2016,0.54,0.15,0.03,-0.32,0.21,0.001
08-12-2016,-0.06,0.14,-0.17,-0.14,-0.26,0.001
08-15-2016,0.38,0.81,0.39,-0.27,0.39,0.001
08-16-2016,-0.57,-0.21,0.58,-0.12,0.32,0.001
08-17-2016,0.12,-0.51,0.24,0.01,0.07,0.001
