Date,Date,,,,,,Price,Open,High,Low,Vol.,Change %
03-12-2024,3,12,2024,,,12/3/2024,0.38,0.37,0.395,0.37,3.75M,2.70%
03-11-2024,3,11,2024,,,11/3/2024,0.37,0.37,0.375,0.36,2.88M,2.78%
03-08-2024,3,8,2024,,,8/3/2024,0.36,0.35,0.37,0.35,3.15M,1.41%
03-07-2024,3,7,2024,,,7/3/2024,0.355,0.36,0.365,0.35,1.56M,-2.74%
03-06-2024,3,6,2024,,,6/3/2024,0.365,0.365,0.375,0.35,3.65M,-1.35%
03-05-2024,3,5,2024,,,5/3/2024,0.37,0.375,0.38,0.365,1.85M,-1.33%
03-04-2024,3,4,2024,,,4/3/2024,0.375,0.375,0.38,0.37,868.74K,-1.32%
03-01-2024,3,1,2024,,,1/3/2024,0.38,0.385,0.39,0.375,520.81K,-1.30%
02/29/2024,2,,,29,2024,29/2/2024,0.385,0.385,0.395,0.38,1.60M,0.00%
02/28/2024,2,,,28,2024,28/2/2024,0.385,0.38,0.39,0.375,660.44K,0.00%
02/27/2024,2,,,27,2024,27/2/2024,0.385,0.38,0.385,0.375,1.40M,1.32%
02/26/2024,2,,,26,2024,26/2/2024,0.38,0.38,0.385,0.375,784.12K,-1.30%
02/23/2024,2,,,23,2024,23/2/2024,0.385,0.38,0.39,0.375,1.62M,-1.28%
02/22/2024,2,,,22,2024,22/2/2024,0.39,0.39,0.39,0.375,1.15M,1.30%
02/21/2024,2,,,21,2024,21/2/2024,0.385,0.395,0.395,0.375,2.07M,0.00%
02/20/2024,2,,,20,2024,20/2/2024,0.385,0.39,0.395,0.37,2.17M,1.32%
02/19/2024,2,,,19,2024,19/2/2024,0.38,0.395,0.395,0.37,1.85M,-1.30%
02/16/2024,2,,,16,2024,16/2/2024,0.385,0.375,0.39,0.365,2.76M,5.48%
02/15/2024,2,,,15,2024,15/2/2024,0.365,0.37,0.375,0.365,411.20K,-1.35%
02/14/2024,2,,,14,2024,14/2/2024,0.37,0.365,0.375,0.36,509.73K,-1.33%
02-09-2024,2,9,2024,,,9/2/2024,0.375,0.36,0.375,0.36,249.47K,0.00%
02-08-2024,2,8,2024,,,8/2/2024,0.375,0.385,0.385,0.36,1.05M,0.00%
02-07-2024,2,7,2024,,,7/2/2024,0.375,0.375,0.385,0.365,2.06M,0.00%
02-06-2024,2,6,2024,,,6/2/2024,0.375,0.365,0.38,0.355,1.53M,4.17%
02-05-2024,2,5,2024,,,5/2/2024,0.36,0.36,0.365,0.345,1.13M,0.00%
02-02-2024,2,2,2024,,,2/2/2024,0.36,0.37,0.37,0.35,575.91K,0.00%
02-01-2024,2,1,2024,,,1/2/2024,0.36,0.37,0.37,0.355,982.38K,0.00%
01/31/2024,1,,,31,2024,31/1/2024,0.36,0.37,0.37,0.36,956.73K,-2.70%
01/30/2024,1,,,30,2024,30/1/2024,0.37,0.38,0.38,0.365,362.37K,-2.63%
01/29/2024,1,,,29,2024,29/1/2024,0.38,0.39,0.39,0.365,1.06M,2.70%
01/26/2024,1,,,26,2024,26/1/2024,0.37,0.405,0.41,0.37,2.04M,-8.64%
01/25/2024,1,,,25,2024,25/1/2024,0.405,0.39,0.405,0.375,3.21M,5.19%
01/24/2024,1,,,24,2024,24/1/2024,0.385,0.385,0.385,0.365,1.10M,2.67%
01/23/2024,1,,,23,2024,23/1/2024,0.375,0.375,0.38,0.36,839.98K,1.35%
01/22/2024,1,,,22,2024,22/1/2024,0.37,0.4,0.4,0.355,2.99M,-3.90%
01/19/2024,1,,,19,2024,19/1/2024,0.385,0.4,0.4,0.375,2.06M,-2.53%
01/18/2024,1,,,18,2024,18/1/2024,0.395,0.375,0.395,0.37,3.10M,5.33%
01/17/2024,1,,,17,2024,17/1/2024,0.375,0.37,0.385,0.36,5.85M,4.17%
01/16/2024,1,,,16,2024,16/1/2024,0.36,0.425,0.43,0.36,5.90M,-16.28%
01/15/2024,1,,,15,2024,15/1/2024,0.43,0.435,0.45,0.42,3.34M,0.00%
01-12-2024,1,12,2024,,,12/1/2024,0.43,0.425,0.435,0.415,3.16M,2.38%
01-11-2024,1,11,2024,,,11/1/2024,0.42,0.415,0.435,0.405,2.83M,3.70%
01-10-2024,1,10,2024,,,10/1/2024,0.405,0.425,0.435,0.39,6.73M,-5.81%
01-09-2024,1,9,2024,,,9/1/2024,0.43,0.425,0.445,0.42,5.06M,2.38%
01-08-2024,1,8,2024,,,8/1/2024,0.42,0.39,0.43,0.385,5.76M,7.69%
01-05-2024,1,5,2024,,,5/1/2024,0.39,0.38,0.395,0.37,4.12M,4.00%
01-04-2024,1,4,2024,,,4/1/2024,0.375,0.375,0.38,0.37,605.68K,1.35%
01-03-2024,1,3,2024,,,3/1/2024,0.37,0.375,0.385,0.37,1.50M,0.00%
01-02-2024,1,2,2024,,,2/1/2024,0.37,0.36,0.385,0.36,2.25M,0.00%
12/29/2023,12,,,29,2023,29/12/2023,0.37,0.345,0.375,0.34,5.45M,10.45%
12/28/2023,12,,,28,2023,28/12/2023,0.335,0.32,0.34,0.315,5.69M,6.35%
12/27/2023,12,,,27,2023,27/12/2023,0.315,0.335,0.335,0.315,2.90M,-5.97%
12/22/2023,12,,,22,2023,22/12/2023,0.335,0.35,0.35,0.335,1.86M,-2.90%
12/21/2023,12,,,21,2023,21/12/2023,0.345,0.35,0.355,0.34,827.93K,-1.43%
12/20/2023,12,,,20,2023,20/12/2023,0.35,0.355,0.355,0.35,663.08K,0.00%
12/19/2023,12,,,19,2023,19/12/2023,0.35,0.355,0.355,0.35,526.59K,-2.78%
