"Date","Price","Open","High","Low","Vol.","Change %"
"12/28/2021","1.3534","1.3571","1.3574","1.3531","","-0.25%"
"12/27/2021","1.3568","1.3588","1.3597","1.3547","","-0.18%"
"12/24/2021","1.3592","1.3586","1.3605","1.3554","","0.07%"
"12/23/2021","1.3582","1.3622","1.3626","1.3578","","-0.22%"
"12/22/2021","1.3612","1.3644","1.3667","1.3610","","-0.21%"
"12/21/2021","1.3640","1.3663","1.3680","1.3638","","-0.18%"
"12/20/2021","1.3665","1.3666","1.3691","1.3657","","-0.04%"
"12/17/2021","1.3670","1.3639","1.3684","1.3630","","0.29%"
"12/16/2021","1.3630","1.3653","1.3675","1.3626","","-0.15%"
"12/15/2021","1.3651","1.3695","1.3713","1.3649","","-0.35%"
"12/14/2021","1.3699","1.3674","1.3706","1.3668","","0.19%"
"12/13/2021","1.3673","1.3636","1.3689","1.3628","","0.26%"
"12/10/2021","1.3637","1.3647","1.3671","1.3624","","-0.05%"
"12/09/2021","1.3644","1.3609","1.3668","1.3605","","0.28%"
"12/08/2021","1.3606","1.3654","1.3666","1.3605","","-0.34%"
"12/07/2021","1.3653","1.3689","1.3704","1.3647","","-0.25%"
"12/06/2021","1.3687","1.3710","1.3719","1.3681","","-0.20%"
"12/03/2021","1.3714","1.3695","1.3732","1.3674","","0.18%"
"12/02/2021","1.3690","1.3653","1.3700","1.3636","","0.27%"
"12/01/2021","1.3653","1.3645","1.3667","1.3609","","0.09%"
"11/30/2021","1.3641","1.3691","1.3731","1.3630","","-0.34%"
"11/29/2021","1.3688","1.3710","1.3735","1.3675","","-0.13%"
"11/26/2021","1.3706","1.3679","1.3747","1.3674","","0.22%"
"11/25/2021","1.3676","1.3681","1.3697","1.3661","","-0.04%"
"11/24/2021","1.3681","1.3655","1.3697","1.3644","","0.23%"
"11/23/2021","1.3650","1.3638","1.3678","1.3638","","0.10%"
"11/22/2021","1.3636","1.3615","1.3657","1.3606","","0.18%"
"11/19/2021","1.3612","1.3562","1.3624","1.3558","","0.35%"
"11/18/2021","1.3564","1.3558","1.3604","1.3552","","0.07%"
"11/17/2021","1.3555","1.3566","1.3603","1.3552","","-0.10%"
"11/16/2021","1.3568","1.3535","1.3579","1.3514","","0.27%"
"11/15/2021","1.3532","1.3522","1.3545","1.3501","","0.12%"
"11/12/2021","1.3516","1.3543","1.3564","1.3514","","-0.18%"
"11/11/2021","1.3541","1.3531","1.3571","1.3520","","0.10%"
"11/10/2021","1.3527","1.3470","1.3537","1.3468","","0.45%"
"11/09/2021","1.3466","1.3477","1.3487","1.3452","","-0.05%"
"11/08/2021","1.3473","1.3505","1.3521","1.3468","","-0.21%"
"11/05/2021","1.3502","1.3512","1.3547","1.3495","","-0.04%"
"11/04/2021","1.3508","1.3479","1.3529","1.3468","","0.24%"
"11/03/2021","1.3476","1.3491","1.3520","1.3474","","-0.10%"
"11/02/2021","1.3490","1.3486","1.3500","1.3466","","0.04%"
"11/01/2021","1.3484","1.3491","1.3514","1.3474","","-0.03%"
"10/29/2021","1.3488","1.3441","1.3501","1.3434","","0.32%"
"10/28/2021","1.3445","1.3484","1.3504","1.3432","","-0.27%"
"10/27/2021","1.3482","1.3479","1.3503","1.3462","","0.01%"
"10/26/2021","1.3481","1.3468","1.3489","1.3451","","0.09%"
"10/25/2021","1.3469","1.3478","1.3490","1.3437","","-0.06%"
"10/22/2021","1.3477","1.3477","1.3499","1.3444","","0.01%"
"10/21/2021","1.3476","1.3438","1.3479","1.3418","","0.31%"
"10/20/2021","1.3434","1.3447","1.3462","1.3428","","-0.08%"
"10/19/2021","1.3445","1.3493","1.3497","1.3431","","-0.34%"
"10/18/2021","1.3491","1.3482","1.3529","1.3477","","0.09%"
"10/15/2021","1.3479","1.3483","1.3493","1.3472","","-0.01%"
"10/14/2021","1.3480","1.3519","1.3521","1.3470","","-0.27%"
"10/13/2021","1.3516","1.3569","1.3579","1.3514","","-0.39%"
"10/12/2021","1.3569","1.3552","1.3579","1.3548","","0.15%"
"10/11/2021","1.3549","1.3554","1.3560","1.3521","","-0.01%"
"10/08/2021","1.3551","1.3583","1.3592","1.3529","","-0.22%"
"10/07/2021","1.3581","1.3588","1.3598","1.3566","","-0.03%"
"10/06/2021","1.3585","1.3571","1.3628","1.3567","","0.13%"
"10/05/2021","1.3568","1.3567","1.3592","1.3561","","0.03%"
"10/04/2021","1.3564","1.3559","1.3591","1.3541","","0.01%"
"10/01/2021","1.3563","1.3578","1.3611","1.3543","","-0.07%"
"09/30/2021","1.3572","1.3613","1.3629","1.3561","","-0.26%"
"09/29/2021","1.3607","1.3585","1.3632","1.3562","","0.22%"
"09/28/2021","1.3577","1.3533","1.3590","1.3529","","0.33%"
"09/27/2021","1.3533","1.3535","1.3548","1.3511","","0.00%"
"09/24/2021","1.3533","1.3489","1.3556","1.3477","","0.33%"
"09/23/2021","1.3489","1.3538","1.3552","1.3466","","-0.35%"
"09/22/2021","1.3536","1.3521","1.3548","1.3486","","0.12%"
"09/21/2021","1.3520","1.3510","1.3533","1.3497","","-0.02%"
"09/20/2021","1.3523","1.3489","1.3534","1.3484","","0.26%"
"09/17/2021","1.3488","1.3451","1.3496","1.3446","","0.26%"
"09/16/2021","1.3453","1.3415","1.3463","1.3404","","0.34%"
"09/15/2021","1.3407","1.3440","1.3444","1.3405","","-0.22%"
"09/14/2021","1.3436","1.3421","1.3443","1.3400","","0.14%"
"09/13/2021","1.3417","1.3419","1.3444","1.3411","","0.03%"
"09/10/2021","1.3413","1.3432","1.3438","1.3379","","-0.13%"
"09/09/2021","1.3430","1.3457","1.3475","1.3413","","-0.18%"
"09/08/2021","1.3454","1.3459","1.3474","1.3447","","0.01%"
"09/07/2021","1.3453","1.3424","1.3468","1.3406","","0.23%"
"09/06/2021","1.3422","1.3415","1.3433","1.3405","","0.05%"
"09/03/2021","1.3415","1.3428","1.3438","1.3394","","-0.06%"
"09/02/2021","1.3423","1.3445","1.3459","1.3420","","-0.15%"
"09/01/2021","1.3443","1.3449","1.3473","1.3428","","-0.03%"
"08/31/2021","1.3447","1.3455","1.3460","1.3417","","-0.04%"
"08/30/2021","1.3453","1.3461","1.3479","1.3439","","-0.02%"
"08/27/2021","1.3456","1.3550","1.3559","1.3451","","-0.65%"
"08/26/2021","1.3544","1.3529","1.3552","1.3514","","0.10%"
"08/25/2021","1.3531","1.3547","1.3563","1.3524","","-0.08%"
"08/24/2021","1.3542","1.3564","1.3579","1.3535","","-0.14%"
"08/23/2021","1.3561","1.3624","1.3629","1.3557","","-0.44%"
"08/20/2021","1.3621","1.3643","1.3657","1.3609","","-0.16%"
"08/19/2021","1.3643","1.3602","1.3653","1.3602","","0.29%"
"08/18/2021","1.3604","1.3623","1.3628","1.3585","","-0.12%"
"08/17/2021","1.3621","1.3554","1.3630","1.3554","","0.48%"
"08/16/2021","1.3556","1.3548","1.3569","1.3542","","0.11%"
"08/13/2021","1.3541","1.3578","1.3594","1.3543","","-0.24%"
"08/12/2021","1.3574","1.3559","1.3586","1.3559","","0.14%"
"08/11/2021","1.3555","1.3596","1.3607","1.3550","","-0.27%"
"08/10/2021","1.3592","1.3574","1.3601","1.3565","","0.15%"
"08/09/2021","1.3572","1.3546","1.3577","1.3542","","0.22%"
"08/06/2021","1.3542","1.3514","1.3556","1.3500","","0.24%"
"08/05/2021","1.3510","1.3512","1.3524","1.3492","","0.01%"
"08/04/2021","1.3508","1.3514","1.3522","1.3472","","-0.03%"
"08/03/2021","1.3512","1.3535","1.3536","1.3503","","-0.15%"
"08/02/2021","1.3532","1.3539","1.3552","1.3510","","-0.05%"
"07/30/2021","1.3539","1.3527","1.3558","1.3514","","0.11%"
"07/29/2021","1.3524","1.3566","1.3573","1.3520","","-0.26%"
"07/28/2021","1.3559","1.3600","1.3621","1.3562","","-0.29%"
"07/27/2021","1.3599","1.3585","1.3620","1.3566","","0.13%"
"07/26/2021","1.3582","1.3602","1.3623","1.3575","","-0.13%"
"07/23/2021","1.3600","1.3592","1.3613","1.3564","","0.03%"
"07/22/2021","1.3596","1.3636","1.3649","1.3580","","-0.28%"
"07/21/2021","1.3634","1.3653","1.3689","1.3629","","-0.12%"
"07/20/2021","1.3650","1.3630","1.3694","1.3623","","0.14%"
"07/19/2021","1.3631","1.3569","1.3651","1.3564","","0.45%"
"07/16/2021","1.3570","1.3548","1.3575","1.3531","","0.18%"
"07/15/2021","1.3545","1.3539","1.3557","1.3516","","0.08%"
"07/14/2021","1.3534","1.3557","1.3580","1.3525","","-0.12%"
"07/13/2021","1.3550","1.3520","1.3564","1.3494","","0.25%"
"07/12/2021","1.3516","1.3510","1.3531","1.3500","","0.08%"
"07/09/2021","1.3505","1.3526","1.3557","1.3504","","-0.13%"
"07/08/2021","1.3523","1.3489","1.3538","1.3482","","0.25%"
"07/07/2021","1.3489","1.3472","1.3501","1.3453","","0.14%"
"07/06/2021","1.3470","1.3451","1.3489","1.3424","","0.14%"
"07/05/2021","1.3451","1.3472","1.3482","1.3444","","-0.13%"
"07/02/2021","1.3469","1.3489","1.3523","1.3457","","-0.13%"
"07/01/2021","1.3486","1.3455","1.3495","1.3443","","0.26%"
"06/30/2021","1.3451","1.3453","1.3459","1.3435","","0.00%"
"06/29/2021","1.3451","1.3428","1.3463","1.3423","","0.17%"
"06/28/2021","1.3428","1.3418","1.3449","1.3418","","0.05%"
"06/25/2021","1.3421","1.3430","1.3438","1.3396","","-0.05%"
"06/24/2021","1.3428","1.3458","1.3468","1.3422","","-0.24%"
"06/23/2021","1.3460","1.3447","1.3474","1.3430","","0.09%"
"06/22/2021","1.3448","1.3430","1.3478","1.3419","","0.22%"
"06/21/2021","1.3419","1.3442","1.3476","1.3418","","-0.31%"
"06/18/2021","1.3461","1.3426","1.3464","1.3392","","0.28%"
"06/17/2021","1.3424","1.3363","1.3441","1.3343","","0.48%"
"06/16/2021","1.3360","1.3274","1.3371","1.3253","","0.69%"
"06/15/2021","1.3269","1.3266","1.3286","1.3252","","0.05%"
"06/14/2021","1.3262","1.3258","1.3278","1.3255","","0.05%"
"06/11/2021","1.3256","1.3238","1.3271","1.3213","","0.17%"
"06/10/2021","1.3234","1.3242","1.3266","1.3231","","-0.04%"
"06/09/2021","1.3239","1.3238","1.3253","1.3220","","0.04%"
"06/08/2021","1.3234","1.3234","1.3246","1.3221","","0.02%"
"06/07/2021","1.3231","1.3247","1.3255","1.3220","","-0.05%"
"06/04/2021","1.3238","1.3279","1.3292","1.3234","","-0.28%"
"06/03/2021","1.3275","1.3224","1.3287","1.3216","","0.40%"
"06/02/2021","1.3222","1.3226","1.3249","1.3214","","-0.02%"
"06/01/2021","1.3224","1.3215","1.3236","1.3189","","0.09%"
"05/31/2021","1.3212","1.3224","1.3245","1.3207","","-0.10%"
"05/28/2021","1.3225","1.3237","1.3264","1.3221","","-0.10%"
"05/27/2021","1.3238","1.3251","1.3264","1.3224","","-0.08%"
"05/26/2021","1.3249","1.3261","1.3265","1.3224","","-0.06%"
"05/25/2021","1.3257","1.3283","1.3287","1.3243","","-0.13%"
"05/24/2021","1.3274","1.3321","1.3325","1.3276","","-0.33%"
"05/21/2021","1.3318","1.3312","1.3329","1.3291","","0.07%"
"05/20/2021","1.3309","1.3345","1.3354","1.3301","","-0.24%"
"05/19/2021","1.3341","1.3301","1.3363","1.3283","","0.35%"
"05/18/2021","1.3294","1.3352","1.3362","1.3284","","-0.43%"
"05/17/2021","1.3351","1.3322","1.3373","1.3317","","0.21%"
"05/14/2021","1.3323","1.3336","1.3381","1.3312","","-0.07%"
"05/13/2021","1.3332","1.3338","1.3367","1.3321","","-0.02%"
"05/12/2021","1.3335","1.3256","1.3346","1.3253","","0.62%"
"05/11/2021","1.3253","1.3258","1.3284","1.3245","","-0.02%"
"05/10/2021","1.3255","1.3249","1.3270","1.3232","","0.06%"
"05/07/2021","1.3247","1.3333","1.3340","1.3236","","-0.64%"
"05/06/2021","1.3332","1.3352","1.3376","1.3327","","-0.14%"
"05/05/2021","1.3351","1.3363","1.3393","1.3339","","-0.07%"
"05/04/2021","1.3360","1.3300","1.3390","1.3291","","0.50%"
"05/03/2021","1.3293","1.3301","1.3341","1.3288","","-0.06%"
"04/30/2021","1.3301","1.3266","1.3314","1.3256","","0.29%"
"04/29/2021","1.3263","1.3251","1.3273","1.3234","","0.11%"
"04/28/2021","1.3249","1.3262","1.3281","1.3247","","-0.08%"
"04/27/2021","1.3260","1.3254","1.3278","1.3248","","0.07%"
"04/26/2021","1.3251","1.3268","1.3278","1.3244","","-0.11%"
"04/23/2021","1.3265","1.3293","1.3300","1.3264","","-0.20%"
"04/22/2021","1.3291","1.3291","1.3308","1.3264","","0.02%"
"04/21/2021","1.3288","1.3285","1.3314","1.3280","","0.00%"
"04/20/2021","1.3288","1.3308","1.3310","1.3259","","-0.15%"
"04/19/2021","1.3308","1.3341","1.3353","1.3299","","-0.25%"
"04/16/2021","1.3342","1.3345","1.3366","1.3329","","-0.01%"
"04/15/2021","1.3343","1.3360","1.3377","1.3337","","-0.09%"
"04/14/2021","1.3355","1.3413","1.3415","1.3349","","-0.42%"
"04/13/2021","1.3411","1.3411","1.3439","1.3401","","0.02%"
"04/12/2021","1.3408","1.3409","1.3434","1.3400","","-0.04%"
"04/09/2021","1.3413","1.3404","1.3428","1.3390","","0.06%"
"04/08/2021","1.3405","1.3411","1.3421","1.3394","","-0.05%"
"04/07/2021","1.3412","1.3394","1.3426","1.3376","","0.19%"
"04/06/2021","1.3387","1.3418","1.3424","1.3388","","-0.21%"
"04/05/2021","1.3415","1.3453","1.3468","1.3409","","-0.31%"
"04/02/2021","1.3457","1.3446","1.3466","1.3430","","0.10%"
"04/01/2021","1.3444","1.3452","1.3482","1.3437","","-0.01%"
"03/31/2021","1.3446","1.3480","1.3487","1.3428","","-0.24%"
