Date,Date,,,,,,Price,Open,High,Low,Vol.,Change %
05-03-2024,5,3,2024,,,3/5/2024,"1,799.80","1,796.00","1,820.00","1,745.25",906.39K,0.72%
05-02-2024,5,2,2024,,,2/5/2024,"1,786.85","1,798.00","1,805.00","1,759.20",517.70K,-0.60%
04/30/2024,4,,,30,2024,30/4/2024,"1,797.65","1,814.00","1,838.80","1,791.00",488.77K,-0.51%
04/29/2024,4,,,29,2024,29/4/2024,"1,806.85","1,815.90","1,822.00","1,795.75",293.37K,0.01%
04/26/2024,4,,,26,2024,26/4/2024,"1,806.65","1,820.00","1,823.30","1,797.05",288.47K,-0.33%
04/25/2024,4,,,25,2024,25/4/2024,"1,812.65","1,818.00","1,819.65","1,792.35",405.97K,0.24%
04/24/2024,4,,,24,2024,24/4/2024,"1,808.30","1,824.95","1,838.50","1,795.00",294.14K,-0.45%
04/23/2024,4,,,23,2024,23/4/2024,"1,816.40","1,809.65","1,840.00","1,799.70",631.34K,1.26%
04/22/2024,4,,,22,2024,22/4/2024,"1,793.75","1,802.00","1,814.60","1,780.00",346.71K,1.34%
04/19/2024,4,,,19,2024,19/4/2024,"1,770.05","1,761.20","1,785.00","1,733.00",665.96K,-0.30%
04/18/2024,4,,,18,2024,18/4/2024,"1,775.45","1,829.70","1,849.90","1,761.20",675.36K,-2.00%
04/16/2024,4,,,16,2024,16/4/2024,"1,811.65","1,803.00","1,838.10","1,802.20",495.01K,-0.19%
04/15/2024,4,,,15,2024,15/4/2024,"1,815.10","1,801.00","1,850.00","1,800.00",978.52K,-3.66%
04-12-2024,4,12,2024,,,12/4/2024,"1,884.05","1,907.90","1,925.00","1,880.00",393.68K,-1.23%
04-10-2024,4,10,2024,,,10/4/2024,"1,907.50","1,920.05","1,924.15","1,895.00",301.53K,-0.45%
04-09-2024,4,9,2024,,,9/4/2024,"1,916.20","1,930.40","1,945.00","1,908.95",294.09K,-0.15%
04-08-2024,4,8,2024,,,8/4/2024,"1,919.10","1,948.05","1,974.95","1,904.40",893.40K,0.90%
04-05-2024,4,5,2024,,,5/4/2024,"1,901.95","1,890.85","1,937.75","1,875.00",724.44K,0.59%
04-04-2024,4,4,2024,,,4/4/2024,"1,890.85","1,900.50","1,925.00","1,882.00",791.18K,0.63%
04-03-2024,4,3,2024,,,3/4/2024,"1,878.95","1,893.15","1,904.00","1,877.00",611.12K,-0.72%
04-02-2024,4,2,2024,,,2/4/2024,"1,892.65","1,891.00","1,906.00","1,872.05",440.58K,0.23%
04-01-2024,4,1,2024,,,1/4/2024,"1,888.30","1,865.00","1,908.90","1,865.00",573.43K,2.90%
03/28/2024,3,,,28,2024,28/3/2024,"1,835.15","1,832.55","1,863.00","1,820.00",605.15K,0.69%
03/27/2024,3,,,27,2024,27/3/2024,"1,822.50","1,869.70","1,895.00","1,804.00",1.17M,-1.96%
03/26/2024,3,,,26,2024,26/3/2024,"1,859.00","1,840.00","1,938.70","1,840.00",955.70K,0.39%
03/22/2024,3,,,22,2024,22/3/2024,"1,851.75","1,857.05","1,865.00","1,837.05",390.80K,-0.19%
03/21/2024,3,,,21,2024,21/3/2024,"1,855.35","1,861.00","1,869.00","1,831.25",328.50K,0.41%
03/20/2024,3,,,20,2024,20/3/2024,"1,847.75","1,834.90","1,861.95","1,812.85",463.75K,1.44%
03/19/2024,3,,,19,2024,19/3/2024,"1,821.55","1,870.00","1,892.40","1,801.15",587.66K,-2.59%
03/18/2024,3,,,18,2024,18/3/2024,"1,869.90","1,810.05","1,899.90","1,750.85",1.48M,-1.72%
