"Date","Price","Open","High","Low","Vol.","Change %"
"11/09/2015","3.7503","3.7505","3.7515","3.7495","","0.00%"
"11/08/2015","3.7502","3.7503","3.7515","3.7493","","0.00%"
"11/07/2015","3.7503","3.7505","3.7507","3.7490","","0.00%"
"11/06/2015","3.7503","3.7503","3.7504","3.7488","","-0.01%"
"11/05/2015","3.7506","3.7500","3.7521","3.7490","","0.04%"
"11/04/2015","3.7492","3.7508","3.7509","3.7485","","-0.03%"
"11/03/2015","3.7502","3.7494","3.7511","3.7481","","-0.01%"
"11/02/2015","3.7504","3.7508","3.7517","3.7488","","0.00%"
"11/01/2015","3.7504","3.7503","3.7512","3.7492","","0.00%"
"10/31/2015","3.7504","3.7504","3.7505","3.7504","","0.00%"
"10/30/2015","3.7505","3.7502","3.7505","3.7490","","0.00%"
"10/29/2015","3.7504","3.7498","3.7513","3.7490","","0.00%"
"10/28/2015","3.7504","3.7498","3.7516","3.7493","","0.00%"
"10/27/2015","3.7504","3.7501","3.7519","3.7476","","0.01%"
"10/26/2015","3.7500","3.7485","3.7515","3.7480","","-0.01%"
"10/25/2015","3.7502","3.7502","3.7502","3.7502","","0.07%"
"10/24/2015","3.7475","3.7475","3.7475","3.7475","","0.00%"
"10/23/2015","3.7475","3.7490","3.7506","3.7470","","-0.09%"
"10/22/2015","3.7508","3.7515","3.7525","3.7490","","0.00%"
"10/21/2015","3.7508","3.7511","3.7521","3.7498","","0.00%"
"10/20/2015","3.7508","3.7488","3.7521","3.7478","","0.07%"
"10/19/2015","3.7480","3.7512","3.7523","3.7480","","-0.06%"
"10/18/2015","3.7502","3.7502","3.7502","3.7502","","0.06%"
"10/17/2015","3.7480","3.7480","3.7480","3.7480","","0.00%"
"10/16/2015","3.7479","3.7511","3.7515","3.7479","","-0.08%"
"10/15/2015","3.7510","3.7509","3.7517","3.7487","","0.09%"
"10/14/2015","3.7477","3.7496","3.7506","3.7468","","-0.06%"
"10/13/2015","3.7501","3.7500","3.7514","3.7488","","0.03%"
"10/12/2015","3.7490","3.7499","3.7512","3.7480","","-0.04%"
"10/11/2015","3.7504","3.7501","3.7511","3.7491","","0.01%"
"10/10/2015","3.7500","3.7500","3.7500","3.7500","","-0.01%"
"10/09/2015","3.7502","3.7502","3.7506","3.7489","","0.00%"
"10/08/2015","3.7501","3.7503","3.7504","3.7488","","0.00%"
"10/07/2015","3.7502","3.7482","3.7504","3.7471","","0.05%"
"10/06/2015","3.7483","3.7499","3.7511","3.7481","","-0.05%"
"10/05/2015","3.7502","3.7504","3.7513","3.7492","","0.00%"
"10/04/2015","3.7502","3.7501","3.7503","3.7491","","0.00%"
"10/03/2015","3.7503","3.7503","3.7503","3.7503","","0.00%"
"10/02/2015","3.7503","3.7507","3.7508","3.7500","","0.00%"
"10/01/2015","3.7503","3.7503","3.7512","3.7492","","0.00%"
"09/30/2015","3.7503","3.7506","3.7512","3.7495","","-0.01%"
"09/29/2015","3.7506","3.7504","3.7512","3.7492","","0.01%"
"09/28/2015","3.7504","3.7502","3.7512","3.7500","","0.00%"
"09/27/2015","3.7503","3.7503","3.7503","3.7503","","0.00%"
"09/26/2015","3.7503","3.7503","3.7503","3.7503","","0.00%"
